Date,GDP,ICT_Production,ICT_Investment,CCSI,BSI_Composite_file1,Corporate_Loan_Rate,Equipment_Investment_Index,productivity_index_file1,Exchange_Rate,BSI_6M_MA,GDP_12M_MA,Exchange_Rate_12M_Std,CCSI_3M_Momentum,ICT_Prod_6M_Momentum,Loan_Rate_Lag_3M,Ad_Sentiment_DI,population,unemployment_rate,productivity_index_file2,change_qoq,growth_rate_qoq,total_wage,BSI,Year,GFCF_ICT_Real,BSI_Composite_file2,cpi_growth,wage_growth,real_wage_growth,unemployment_rate_MA3,BSI_Composite_MA3,unemployment_rate_change3,BSI_Composite_change3,unemployment_rate_MA6,BSI_Composite_MA12,real_wage_growth_change12,unemployment_rate_std3,BSI_Composite_std6,growth_rate_qoq_lag1
2013-06-01,434043.1666666667,35144.36666666667,12363.633333333331,105.1,88.66666666666667,4.7,89.2,96.23333333333332,1095.04,86.66666666666667,426389.825,16.565229740734644,0.8999999999999915,480.4333333333343,4.86,45.73333333333333,36934945.0,3.1,96.23333333333332,1.1333333333333333,1.1333333333333333,2788249.0,88.66666666666667,2013,31697.7,85.66666666666667,-0.1,5.670609253387093,5.770609253387093,3.1,90.1111111111111,-0.3999999999999999,-4.0,3.35,86.8888888888889,-2.230032434388418,0.1000000000000555,6.924994985958834,1.0666666666666669
2013-07-01,435484.7,34824.3,12672.9,104.8,88.0,4.69,90.9,96.6,1095.04,89.72222222222221,427691.75,16.333536795259786,3.200000000000003,64.30000000000291,4.82,43.2,36948120.333333336,3.1,96.6,1.2,1.2,2852987.0,88.0,2013,31697.7,88.33333333333333,0.2,2.321815591075249,2.121815591075249,3.0666666666666664,88.77777777777777,-0.1,-4.0,3.3000000000000003,86.6388888888889,0.8021092603953452,0.0577350269190598,6.5001424485815,1.1333333333333333
2013-08-01,436756.56666666665,35163.86666666667,12728.633333333331,105.0,87.33333333333333,4.61,94.85,97.5,1095.04,89.44444444444444,429012.8333333333,15.61784837544744,0.7999999999999972,62.36666666666861,4.73,40.66666666666666,36961295.66666666,3.0,97.5,1.7000000000000002,1.7333333333333334,2748651.0,87.33333333333333,2013,31697.7,88.33333333333333,0.4,-3.657079404848318,-4.057079404848318,3.0666666666666664,87.44444444444446,0.0,-4.0,3.15,86.77777777777777,0.0627256411192762,0.0577350269190598,2.5877202894237263,1.2
2013-09-01,438028.43333333335,35503.433333333334,12784.366666666669,101.4,89.33333333333333,4.59,89.0,98.4,1095.04,89.5,430353.075,14.34590977499867,-3.6999999999999886,60.4333333333343,4.7,38.133333333333326,36974471.0,2.7,98.4,2.2,2.2666666666666666,3089022.0,89.33333333333333,2013,31697.7,89.66666666666667,0.2,12.383201796081057,12.183201796081056,2.9333333333333336,88.77777777777777,-0.3999999999999999,4.0,3.016666666666667,86.8611111111111,-1.2927052858467398,0.2081665999466416,2.5877202894237263,1.7333333333333334
2013-10-01,439300.3,35843.0,12840.1,106.7,92.33333333333331,4.56,95.2,99.3,1095.04,89.66666666666667,431712.475,12.346993254388444,1.9000000000000057,58.5,4.69,35.599999999999994,36987646.333333336,2.7,99.3,2.7,2.8,2741630.0,92.33333333333331,2013,31697.7,92.66666666666669,-0.3,-11.2460189665208,-10.946018966520798,2.8000000000000003,90.22222222222224,-0.3999999999999999,4.333333333333343,2.9333333333333336,87.05555555555556,1.2122552765000414,0.1732050807569235,2.664582518894643,2.2666666666666666
2013-11-01,440423.5,36178.9,12742.933333333334,108.3,92.0,4.58,93.25,98.26666666666668,1095.04,89.6111111111111,433072.28333333327,9.15677526932928,3.299999999999997,714.4666666666672,4.61,33.06666666666666,37000821.66666666,2.6,98.26666666666668,0.7666666666666666,0.833333333333333,2609844.0,92.0,2013,31697.7,90.33333333333331,0.0,-4.806848480648373,-4.806848480648373,2.6666666666666665,90.8888888888889,-0.3999999999999999,2.0,2.866666666666667,87.30555555555556,-0.4363501601407407,0.0577350269190754,2.3452078799114977,2.8
2013-12-01,441546.7,36514.8,12645.766666666666,107.5,88.66666666666667,4.67,83.94999999999999,97.23333333333332,1095.04,89.6111111111111,434432.5,0.0,6.099999999999994,1370.4333333333343,4.59,30.53333333333333,37013997.0,3.0,97.23333333333332,-1.166666666666667,-1.1333333333333335,3203784.0,88.66666666666667,2013,31697.7,89.33333333333333,0.1,22.757682068353517,22.657682068353516,2.766666666666667,90.77777777777776,0.2999999999999998,-0.3333333333333428,2.85,87.88888888888887,-1.472587996189226,0.2081665999466436,1.6147468555183149,0.833333333333333
2014-01-01,442669.9,36850.7,12548.6,110.2,87.66666666666667,4.62,88.7,96.2,1053.12,89.55555555555554,435793.125,12.10126164220034,3.5,2026.3999999999944,4.56,28.0,37034150.583333336,3.4,96.2,-3.1,-3.1,3319070.0,87.66666666666667,2014,31447.0,87.33333333333333,0.5,3.5984323537417096,3.0984323537417096,3.0,89.0,0.6999999999999997,-5.333333333333343,2.9,88.41666666666667,11.916522777480818,0.4000000000000148,1.8308063392534888,-1.1333333333333335
2014-02-01,444070.7333333333,37092.76666666666,12691.733333333334,109.2,87.0,4.58,90.95,96.96666666666668,1053.12,89.5,437136.6611111111,16.31733786961477,0.9000000000000057,1928.8999999999944,4.58,27.78333333333333,37054304.16666666,4.5,96.96666666666668,-1.3333333333333333,-1.3,2787893.0,87.0,2014,31447.0,88.0,0.3,-16.003790218344292,-16.303790218344293,3.633333333333333,88.22222222222223,1.9,-2.3333333333333286,3.15,89.5,-21.09659914628973,0.7767453465154096,1.8816856115567384,-3.1
2014-03-01,445471.5666666667,37334.833333333336,12834.866666666669,109.7,92.0,4.57,96.35,97.73333333333332,1053.12,89.94444444444444,438463.1083333333,18.95903334704035,2.200000000000003,1831.4000000000008,4.67,27.566666666666663,37074457.75,3.9,97.73333333333332,0.4333333333333335,0.5,2789271.0,92.0,2014,31447.0,92.33333333333331,0.2,0.0494280088941812,-0.1505719911058188,3.9333333333333336,89.22222222222221,0.8999999999999999,3.0,3.35,89.72222222222223,9.1328466171818,0.550757054728619,2.201009869228959,-1.3
2014-04-01,446872.4,37576.9,12978.0,109.7,96.33333333333331,4.51,90.35,98.5,1053.12,90.61111111111111,439772.4666666666,20.639981207405693,-0.5,1733.9000000000017,4.62,27.35,37094611.333333336,3.8,98.5,2.2,2.3,2774949.0,96.33333333333331,2014,31447.0,95.66666666666669,0.1,-0.5134674974213715,-0.6134674974213715,4.066666666666666,92.0,0.3999999999999999,8.333333333333343,3.533333333333333,90.0,-0.1850261531337158,0.3785938897200306,3.0894084295287336,0.5
2014-05-01,447256.1,36847.43333333333,12964.8,105.3,91.0,4.5,90.9,97.86666666666666,1053.12,90.44444444444446,440993.6722222222,21.585809030814225,-3.9000000000000057,668.5333333333256,4.58,27.133333333333333,37114764.91666666,3.5,97.86666666666666,0.8333333333333337,0.9000000000000001,2692179.0,91.0,2014,31447.0,92.66666666666669,0.2,-2.982757520949031,-3.182757520949031,3.733333333333333,93.55555555555556,-1.0,4.666666666666671,3.6833333333333336,90.02777777777777,0.0436842498310108,0.2081665999466373,3.2087842395983857,2.3
