"특성별(1)",특성별(2),2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023
"특성별(1)",특성별(2),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원)
"특성별(1)",특성별(2),소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업
"매출규모별",5천억원～1조원미만,151,66.1,33.9,1152820,7646.6,11663.5,179,62.3,37.7,937917,5239.8,8416.1,172,61.5,38.5,1434245,8338.6,13568.3,193,60.1,39.9,1512983,7839.3,13052.0,208,63.4,36.6,1924117,9250.6,14596.8,199,63.2,36.8,1647456,8278.7,13105.8,180,66.7,33.3,1317888,7321.6,10982.4,-,-,-,-,-,-,-,-,-,-,-,-
"매출규모별",1조원이상,57,85.2,14.8,611997,11999.9,14086.9,90,84.3,15.7,1603369,17815.2,21143.3,89,65.9,34.1,2535935,29447.3,45499.6,114,62.8,37.2,1835004,16096.5,25644.4,110,65.8,34.2,2228482,20258.9,30771.2,116,67.9,32.1,2733431,23564.1,34714.3,107,74.6,25.4,2598428,24284.4,32533.4,-,-,-,-,-,-,-,-,-,-,-,-
"수출여부별",수출있음,1171,79.5,20.5,4052422,3474.7,4374.3,1320,77.3,22.7,5604668,4265.6,5528.9,1308,76.2,23.8,6655725,5121.8,6735.6,1617,72.5,27.5,6695084,4141.1,5713.6,1871,68.3,31.7,7178665,3837.6,5615.6,1929,67.4,32.6,7275358,3771.0,5598.7,2036,69.3,30.7,7717929,3791.5,5473.0,2019,66.8,33.2,8585159,4252.9,6363.5,1949,64.8,35.2,8806167,4518.4,6968.9
"수출여부별",수출없음,1808,19.1,80.9,883458,488.6,2557.8,2238,24.3,75.7,590386,263.8,1084.8,2706,18.7,81.3,589578,218.2,1173.7,2851,19.2,80.8,1347122,472.5,2466.4,2764,19.7,80.3,643702,232.9,1179.8,3078,15.5,84.5,445957,144.9,936.5,3490,15.8,84.2,726337,208.1,1318.4,3461,16.6,83.4,825011,238.4,1438.9,3627,15.9,84.1,796605,219.6,1383.0
"종사자수별",50명미만,862,11.5,88.5,39671,46.0,400.6,1197,13.1,86.9,54614,45.6,347.9,1442,9.6,90.4,50452,35.0,365.5,1557,10.1,89.9,87037,55.9,553.1,1774,11.8,88.2,102897,58.0,490.5,2006,11.9,88.1,99716,49.7,419.0,2418,11.2,88.8,280907,116.2,1041.6,2236,9.6,90.4,282520,126.4,1315.1,2376,12.5,87.5,213069,89.7,719.0
"종사자수별",50～100명미만,470,29.0,71.0,110372,235.0,809.2,508,39.5,60.5,116960,230.2,583.4,686,32.5,67.5,124369,181.4,557.5,725,31.4,68.6,148498,204.9,652.8,680,30.9,69.1,185278,272.6,881.1,761,27.6,72.4,163843,215.4,780.3,876,32.4,67.6,321998,367.7,1134.0,867,25.5,74.5,226755,261.4,1025.1,862,28.0,72.0,287991,334.1,1194.0
"종사자수별",100～200명미만,543,49.8,50.2,516945,956.5,1927.8,610,52.7,47.3,272407,449.1,856.1,608,49.4,50.6,277567,459.3,936.6,722,48.1,51.9,411207,569.9,1184.8,645,52.3,47.7,309299,479.3,916.7,781,49.5,50.5,373550,478.0,965.1,763,50.6,49.4,270581,354.5,700.1,848,50.1,49.9,634149,747.9,1493.7,764,44.9,55.1,531884,695.8,1550.5
"종사자수별",200～300명미만,317,70.4,29.6,513852,1618.3,2297.6,363,62.0,38.0,652817,1797.3,2897.9,387,55.4,44.6,453326,1172.2,2114.0,419,66.0,34.0,513147,1225.2,1855.9,469,64.9,35.1,481330,1026.1,1582.1,426,56.9,43.1,308774,725.3,1274.5,401,64.4,35.6,478114,1193.4,1852.1,459,68.0,32.0,585970,1277.9,1879.3,469,57.1,42.9,602397,1284.3,2251.0
"종사자수별",300～500명미만,322,68.5,31.5,782209,2428.2,3542.2,360,72.6,27.4,1021069,2836.1,3907.6,397,66.8,33.2,1142156,2902.8,4365.0,447,66.5,33.5,1413671,3162.6,4754.6,453,70.7,29.3,1472875,3252.1,4602.8,436,67.7,32.3,1440965,3303.8,4881.2,410,72.6,27.4,1562993,3816.3,5256.7,400,71.9,28.1,1402392,3508.2,4882.4,447,61.6,38.4,1433582,3204.0,5199.0
"종사자수별",500～1000명미만,305,80.2,19.8,1515954,5005.5,6253.5,347,81.7,18.3,2111502,6093.7,7459.7,326,77.6,22.4,1442317,4493.3,5815.8,393,74.3,25.7,1948319,4962.4,6682.4,381,74.4,25.6,1823252,4785.6,6428.5,375,73.5,26.5,1863613,4970.4,6766.8,425,77.4,22.6,2122203,4997.9,6453.9,432,76.4,23.6,2608633,6044.5,7906.5,394,71.8,28.2,2336098,5928.0,8258.0
"종사자수별",1000명이상,160,50.8,49.2,1456878,9105.4,17907.9,173,66.6,33.4,1965686,11522.6,17456.2,168,64.7,35.3,3755116,22298.3,34485.8,207,58.4,41.6,3520327,17026.5,29173.5,233,68.1,31.9,3447437,14809.7,21733.4,223,57.4,42.6,3470854,15596.4,27167.3,234,58.4,41.6,3407470,14569.3,24928.5,239,55.6,44.4,3669751,15350.1,27600.1,263,50.5,49.5,4197751,15947.1,31605.8
"업력별",0～7년미만,364,31.1,68.9,253217,1233.8,3965.3,541,27.2,72.8,358100,1005.2,3778.8,617,25.1,74.9,852831,2881.8,11487.8,248,35.4,64.6,684200,2758.8,7786.9,347,36.1,63.9,371355,1070.7,2964.1,232,31.6,68.4,112310,484.5,1531.9,328,38.7,61.3,526809,1605.9,4152.0,339,34.6,65.4,461999,1361.5,3934.9,241,31.3,68.7,160276,665.6,2125.2
