date,GDP,ICT_Production,ICT_Investment,CCSI,BSI_Composite,Corporate_Loan_Rate,Equipment_Investment_Index,productivity_index,Exchange_Rate,BSI_6M_MA,GDP_12M_MA,Exchange_Rate_12M_Std,CCSI_3M_Momentum,ICT_Prod_6M_Momentum,Loan_Rate_Lag_3M,Ad_Sentiment_DI
2005-05-01,318413.1666666666,19270.366666666665,9033.166666666666,97.0,85.33333333333333,5.57,56.5,95.7,,85.33333333333333,310588.2444444445,,-5.0,998.2666666666664,5.63,32.29696969696969
2005-06-01,319896.23333333334,19461.43333333333,9061.433333333334,96.0,85.33333333333333,5.6,55.25,95.7,,85.33333333333333,311792.4166666667,,-4.0,997.0333333333292,5.65,36.057575757575755
2005-07-01,321379.3,19652.5,9089.7,95.0,85.33333333333333,5.58,58.2,95.7,,85.33333333333333,313098.50833333336,,-3.0,995.7999999999992,5.66,39.81818181818183
2005-08-01,322608.5,19865.733333333334,9131.033333333336,97.66666666666669,85.33333333333333,5.53,54.3,95.7,,85.33333333333333,314437.4305555556,,0.6666666666666856,1068.166666666668,5.57,43.57878787878789
2005-09-01,323837.7,20078.966666666667,9172.366666666669,100.33333333333331,85.33333333333333,5.67,59.05,95.7,,85.33333333333333,315809.18333333335,,4.333333333333314,1140.5333333333365,5.6,47.33939393939396
2005-10-01,325066.9,20292.2,9213.7,103.0,85.33333333333333,5.75,58.25,95.7,,85.33333333333333,317213.76666666666,,8.0,1212.9000000000017,5.58,51.10000000000002
2005-11-01,326789.4,20448.533333333333,9134.966666666667,104.0,85.33333333333333,5.75,56.2,95.7,,85.33333333333333,318681.7472222222,,6.333333333333314,1178.166666666668,5.53,54.86060606060609
2005-12-01,328511.9,20604.86666666667,9056.233333333334,105.0,85.33333333333333,5.8,57.9,95.7,,85.33333333333333,320213.125,,4.666666666666686,1143.433333333338,5.67,58.62121212121215
2006-01-01,330234.4,20761.2,8977.5,106.0,85.33333333333333,5.85,54.3,95.7,,85.33333333333333,321807.9,,3.0,1108.7000000000007,5.75,62.38181818181823
2006-02-01,331028.8666666667,20906.63333333333,9212.366666666669,103.66666666666669,85.33333333333333,5.94,58.6,95.7,,85.33333333333333,323306.85277777776,,-0.3333333333333144,1040.8999999999978,5.75,57.90227272727277
2006-03-01,331823.3333333333,21052.066666666666,9447.233333333334,101.33333333333331,85.33333333333333,5.99,55.2,95.7,,85.33333333333333,324709.98333333334,,-3.6666666666666856,973.0999999999984,5.8,53.422727272727315
2006-04-01,332617.8,21197.5,9682.1,99.0,85.33333333333333,5.92,60.400000000000006,95.7,,85.33333333333333,326017.2916666667,,-7.0,905.2999999999992,5.85,48.943181818181856
2006-05-01,334355.4666666667,21410.166666666668,9741.733333333334,97.33333333333331,85.33333333333333,5.99,58.55,95.7,,85.33333333333333,327345.81666666665,,-6.333333333333371,961.633333333335,5.94,44.4636363636364
2006-06-01,336093.1333333333,21622.83333333333,9801.366666666669,95.66666666666669,85.33333333333333,6.09,56.15,95.7,,85.33333333333333,328695.5583333333,,-5.666666666666629,1017.96666666666,5.99,39.98409090909094
2006-07-01,337830.8,21835.5,9861.0,94.0,85.33333333333333,6.16,50.85,95.7,,85.33333333333333,330066.51666666666,,-5.0,1074.2999999999993,5.92,35.50454545454547
2006-08-01,338766.0333333333,21876.9,9918.5,94.66666666666669,85.33333333333333,6.2,57.0,95.7,,85.33333333333333,331412.97777777776,,-2.6666666666666288,970.26666666667,5.99,31.025000000000013
2006-09-01,339701.26666666666,21918.3,9976.0,95.33333333333331,85.33333333333333,6.21,56.6,95.7,,85.33333333333333,332734.94166666665,,-0.3333333333333712,866.2333333333336,6.09,26.545454545454554
2006-10-01,340636.5,21959.7,10033.5,96.0,85.33333333333333,6.18,60.75,95.7,,85.33333333333333,334032.4083333333,,2.0,762.2000000000007,6.16,22.065909090909095
2006-11-01,342649.3333333333,22089.533333333333,10055.5,97.33333333333331,85.33333333333333,6.16,60.45,95.7,,85.33333333333333,335354.06944444444,,2.6666666666666288,679.366666666665,6.2,17.586363636363636
2006-12-01,344662.1666666667,22219.36666666667,10077.5,98.66666666666669,85.33333333333333,6.3,74.9,95.7,,85.33333333333333,336699.925,,3.3333333333333712,596.5333333333401,6.21,13.106818181818177
2007-01-01,346675.0,22349.2,10099.5,100.0,85.33333333333333,6.39,73.15,95.7,,85.33333333333333,338069.97500000003,,4.0,513.7000000000007,6.18,8.62727272727271
2007-02-01,348631.2,22540.86666666667,10129.8,101.66666666666669,85.33333333333333,6.43,77.1,95.7,,85.33333333333333,339536.8361111111,,4.333333333333371,663.9666666666672,6.16,11.724242424242412
2007-03-01,350587.4,22732.533333333333,10160.1,103.33333333333331,85.33333333333333,6.41,69.15,95.7,,85.33333333333333,341100.50833333336,,4.666666666666629,814.2333333333336,6.3,14.821212121212113
2007-04-01,352543.6,22924.2,10190.4,105.0,85.33333333333333,6.37,68.69999999999999,95.7,,85.33333333333333,342760.99166666664,,5.0,964.5,6.39,17.918181818181814
2007-05-01,353935.1333333333,23251.033333333333,10233.133333333331,106.0,85.33333333333333,6.51,69.2,95.7,,85.33333333333333,344392.6305555556,,4.333333333333314,1161.5,6.43,21.01515151515152
